85
B9FU30_ORYSJ_284-472	B9FU30_ORYSJ_849-1024	Q5Z6I4_ORYSJ_261-445	Q5Z6I4_ORYSJ_857-1036	D0NKW7_PHYIT_491-663	D0NKW7_PHYIT_696-864	Q22US2_TETTS_932-1154	Q22US2_TETTS_1211-1402	Q22US2_TETTS_1444-1649	B9G1J5_ORYSJ_289-475	B9G1J5_ORYSJ_898-1071	C2GR1_ARATH_236-423	C2GR1_ARATH_844-1019	A9TQ08_PHYPA_235-415	A9TQ08_PHYPA_826-1012	C2GR2_ARATH_238-426	C2GR2_ARATH_849-1023	B9F3V9_ORYSJ_332-515	B9F3V9_ORYSJ_899-1075	A9SDA2_PHYPA_232-412	A9SDA2_PHYPA_817-1004	A9TQF1_PHYPA_224-401	A9TQF1_PHYPA_820-1003	Q7XKT6_ORYSJ_248-436	Q7XKT6_ORYSJ_859-1033	YSP2_YEAST_841-1021	YSP2_YEAST_1046-1230	A9RSX7_PHYPA_212-394	A9RSX7_PHYPA_807-992	F4HVW5_ARATH_257-449	YHO0_YEAST_751-934	YHO0_YEAST_957-1143	B9G4K6_ORYSJ_394-582	GRM1B_HUMAN_55-233	GRM1B_HUMAN_321-502	GRM1B_MOUSE_321-502	GRM1C_HUMAN_107-289	GRM1C_HUMAN_312-494	B3KUR5_HUMAN_45-223	GRM1C_MOUSE_107-289	Q8W4D4_ARATH_391-576	I7M7X5_TETTS_1013-1226	I7M7X5_TETTS_1307-1507	Q2MGF5_CAEEL_57-244	J3KR86_HUMAN_127-303	Q55FU7_DICDI_479-662	GRM1A_MOUSE_365-539	C4M0I0_ENTHI_201-371	C4M0I0_ENTHI_381-531	B3KQF7_HUMAN_127-303	Q8MRR1_DROME_41-220	Q86AF7_DICDI_286-471	D0MXP9_PHYIT_957-1148	Q8MKJ8_DROME_144-324	D0NMG0_PHYIT_279-489	B8C8I7_THAPS_81-294	Q22XZ6_TETTS_144-333	Q4P940_USTMA_827-1016	B9F0Z0_ORYSJ_387-537	B8BQ30_THAPS_365-549	V5IMN0_NEUCR_493-676	B9G4T6_ORYSJ_322-427	Q55CZ7_DICDI_2-179	F8WJ74_MOUSE_365-496	Q86AF6_DICDI_540-708	B8CDL4_THAPS_224-415	D0NJ57_PHYIT_385-538	YL072_YEAST_390-578	B8C2T9_THAPS_869-1064	Q4QEC5_LEIMA_378-547	B8CDL2_THAPS_184-373	Q4QEC6_LEIMA_54-221	Q8VZF8_ARATH_257-370	Q4Q507_LEIMA_35-214	C4LUM2_ENTHI_46-249	I7MCY9_TETTS_788-993	Q5BB65_EMENI_853-1030	YFE2_YEAST_402-586	B8BUE2_THAPS_254-437	Q23QL2_TETTS_311-513	Q7RWT3_NEUCR_945-1126	D0NHH4_PHYIT_394-641	Q6K8R7_ORYSJ_365-458	B8LDM5_THAPS_929-1109	I7M5W4_TETTS_346-560
0.00	218.40	63.84	216.06	202.68	195.85	207.47	205.24	196.88	52.86	203.38	63.43	228.98	100.10	182.66	72.13	227.21	29.01	239.40	100.10	187.27	101.49	189.85	78.62	201.73	178.31	164.37	99.73	223.41	195.55	190.30	169.79	208.74	156.69	158.79	158.79	150.08	150.08	153.71	147.35	207.18	194.66	176.93	163.27	149.43	185.09	148.02	195.15	217.92	149.43	189.54	164.66	186.88	164.37	196.19	208.28	192.78	164.66	217.92	181.40	175.35	184.47	220.04	147.09	163.74	217.55	205.06	174.65	266.70	193.29	208.28	182.22	234.08	230.27	178.94	197.66	178.40	134.08	193.12	221.82	223.51	188.37	243.00	189.67	219.24
218.40	0.00	230.75	69.78	201.93	185.92	189.21	186.39	190.00	211.12	70.37	237.59	81.35	192.34	140.25	223.51	108.04	215.86	42.53	201.64	142.77	199.23	135.41	193.12	121.79	242.14	225.42	229.87	147.35	190.78	220.91	251.98	206.65	181.59	181.59	181.59	202.56	202.56	202.56	188.42	223.51	278.60	229.74	182.35	180.82	204.20	183.36	231.68	241.20	180.82	232.11	200.84	185.70	198.42	156.69	190.48	212.77	187.24	236.78	172.35	205.84	179.31	236.47	190.85	247.41	175.35	198.24	244.02	172.44	201.03	198.42	193.95	192.48	279.72	233.03	199.23	224.52	277.49	218.29	255.31	265.98	271.27	226.09	222.81	208.62
63.84	230.75	0.00	253.91	197.55	191.01	229.87	209.85	183.87	55.01	240.26	43.87	228.10	85.45	192.57	70.41	209.45	64.78	346.67	91.04	196.96	89.24	192.57	83.21	196.79	181.40	173.90	87.99	240.30	212.28	185.38	169.09	213.08	140.08	138.92	138.92	145.30	145.30	148.02	148.02	201.56	214.42	193.50	153.58	152.31	201.56	153.85	190.48	250.43	152.31	162.94	194.06	174.63	140.76	205.61	218.40	191.32	138.46	231.73	198.45	178.31	177.87	202.56	150.87	186.03	251.98	217.92	167.87	216.06	171.35	208.28	162.23	255.85	206.09	176.08	261.67	170.96	140.76	183.87	243.18	251.98	196.19	207.18	180.99	207.47
216.06	69.78	253.91	0.00	226.82	176.20	224.52	216.34	233.95	204.82	66.14	210.69	63.81	190.78	132.74	216.06	108.58	233.39	77.86	196.09	135.67	195.30	132.74	179.77	115.60	256.61	214.16	212.77	150.70	224.37	239.31	215.86	207.47	190.78	188.78	188.78	207.47	207.47	205.02	207.47	205.84	276.37	208.48	211.95	189.21	191.56	187.63	239.22	227.44	189.21	243.08	196.88	184.14	217.55	187.24	214.76	220.08	218.40	173.54	194.50	204.20	199.23	242.19	190.85	245.35	192.10	164.93	244.96	178.40	232.21	191.56	239.11	265.88	279.72	223.51	225.42	224.52	247.11	216.53	230.71	214.16	235.77	186.13	245.35	285.66
202.68	201.93	197.55	226.82	0.00	91.63	227.49	193.29	191.84	226.56	219.96	197.55	225.85	187.22	183.06	197.55	196.60	201.82	225.85	196.70	183.06	212.98	192.43	183.62	213.56	180.35	201.93	196.70	178.70	152.64	196.70	232.64	144.36	231.68	231.68	224.69	195.00	195.00	195.00	200.10	150.29	212.98	197.55	196.70	224.69	140.05	218.18	154.15	169.64	224.69	190.17	174.56	177.79	200.96	175.35	184.92	200.96	181.18	168.47	166.19	182.81	156.81	153.54	203.94	163.82	188.86	136.03	208.11	157.38	168.52	190.17	172.26	167.18	222.72	194.84	204.39	226.56	268.53	187.63	239.22	203.54	184.14	158.96	199.23	232.64
195.85	185.92	191.01	176.20	91.63	0.00	207.24	197.48	180.35	206.36	181.37	195.85	176.20	190.17	162.23	173.76	185.92	199.23	200.13	185.56	169.73	209.38	173.71	186.39	194.84	180.35	173.71	217.26	186.78	159.18	191.84	219.09	174.56	185.56	185.56	185.56	188.48	188.48	188.48	193.29	166.97	191.01	170.69	186.39	176.98	145.03	181.18	156.85	181.59	176.98	188.48	170.69	177.79	199.23	192.90	169.30	190.17	195.00	159.32	184.73	207.24	165.90	221.86	194.66	167.51	181.18	159.86	179.40	166.97	220.00	172.06	212.09	178.31	240.21	175.35	196.70	219.09	208.11	182.22	183.90	200.10	183.36	144.27	234.22	200.96
207.47	189.21	229.87	224.52	227.49	207.24	0.00	146.78	138.39	215.01	190.78	217.55	243.08	228.98	213.60	228.10	211.12	233.03	207.78	221.78	225.23	219.17	191.56	243.08	297.51	254.88	181.40	228.10	209.45	203.10	237.75	230.35	189.85	209.45	209.45	209.45	219.17	219.17	219.17	202.56	189.11	154.55	154.22	185.38	181.59	178.31	185.70	205.02	239.00	181.59	207.78	185.38	212.28	203.38	171.90	214.42	236.01	201.56	188.95	188.78	258.74	162.82	212.77	182.60	219.17	171.90	209.30	222.58	215.45	161.47	206.39	170.69	208.93	221.78	241.20	159.84	247.76	236.88	194.81	154.97	284.19	330.28	172.67	250.54	189.50
205.24	186.39	209.85	216.34	193.29	197.48	146.78	0.00	70.40	233.60	195.00	199.23	188.86	227.49	216.53	220.00	177.79	191.01	223.75	208.11	222.72	190.17	226.56	214.76	229.74	199.23	168.52	233.60	191.01	172.35	247.11	208.62	203.38	196.70	196.70	196.70	205.48	205.48	205.48	205.48	184.14	150.64	133.05	198.39	212.98	189.67	219.09	187.22	242.44	212.98	211.19	188.86	207.78	247.41	213.30	172.35	254.58	238.37	184.20	225.62	212.44	174.14	189.21	203.94	205.24	227.49	196.12	174.58	215.86	193.29	218.18	191.56	175.35	232.64	267.41	164.93	243.18	213.30	181.78	154.26	307.05	232.11	203.71	278.60	158.06
196.88	190.00	183.87	233.95	191.84	180.35	138.39	70.40	0.00	196.09	185.70	201.64	224.52	222.65	221.78	201.64	194.50	191.56	233.03	216.71	215.86	222.65	205.02	206.65	237.42	225.23	187.24	222.65	210.29	169.09	209.08	222.58	196.19	201.64	201.64	206.65	201.64	201.64	201.64	206.65	183.62	146.86	132.73	181.40	192.34	199.23	195.30	209.45	264.25	192.34	183.87	209.08	195.43	192.34	175.35	173.10	275.50	191.06	222.99	217.68	228.65	174.08	207.78	180.35	242.19	186.54	214.20	192.57	203.86	180.35	204.63	184.73	191.97	217.55	255.59	175.35	215.24	215.24	212.77	169.07	329.70	255.16	224.11	281.96	168.60
52.86	211.12	55.01	204.82	226.56	206.36	215.01	233.60	196.09	0.00	202.56	56.71	192.90	99.87	216.06	70.42	202.56	54.60	261.67	100.48	235.14	100.87	234.27	93.99	191.29	205.84	164.79	92.49	289.79	216.87	191.56	166.95	221.75	150.13	152.21	152.21	150.08	150.08	150.13	144.69	204.03	196.88	207.24	171.08	148.73	175.35	147.32	204.39	187.63	148.73	173.17	166.48	176.10	160.47	198.45	228.98	178.23	171.80	229.59	184.63	168.91	196.55	186.03	139.04	180.20	211.12	224.03	172.52	225.23	171.35	207.47	162.23	272.81	205.24	185.09	243.08	173.86	143.92	190.00	220.91	259.65	198.45	217.68	204.39	221.78
